date,VIG,CPI,UNEMP,SPREAD
2007-01-01,54.295,202.416,4.6,-0.1200000000000001
2007-02-01,55.1,203.499,4.5,-0.1299999999999999
2007-03-01,53.495000000000005,205.352,4.4,-0.010000000000000675
2007-04-01,55.259249999999994,206.686,4.5,0.020000000000000462
2007-05-01,56.77005,207.949,4.4,-0.019999999999999574
2007-06-01,56.98,208.352,4.6,0.11999999999999922
2007-07-01,57.28,208.299,4.7,0.17999999999999972
2007-08-01,55.67,207.917,4.6,0.3600000000000003
2007-09-01,56.59,208.49,4.7,0.5099999999999998
2007-10-01,57.9097,208.936,4.7,0.56
2007-11-01,55.57,210.177,4.7,0.8100000000000005
2007-12-01,56.349999999999994,210.036,5.0,0.9799999999999995
2008-01-01,53.05,211.08,5.0,1.2600000000000002
2008-02-01,52.68,211.693,4.9,1.7700000000000002
2008-03-01,52.355,213.528,5.1,1.8899999999999997
2008-04-01,54.345,214.823,5.0,1.6300000000000003
2008-05-01,54.56,216.632,5.4,1.4299999999999997
2008-06-01,53.09,218.815,5.6,1.3299999999999996
2008-07-01,50.18855,219.964,5.8,1.44
2008-08-01,51.7,219.086,6.1,1.4700000000000002
2008-09-01,50.1,218.783,6.1,1.6099999999999999
2008-10-01,40.11,216.573,6.5,2.2
2008-11-01,39.05,212.425,6.8,2.32
2008-12-01,39.29685,210.228,7.3,1.6
2009-01-01,38.137,211.143,7.8,1.71
2009-02-01,36.7,212.193,8.3,1.8900000000000001
2009-03-01,33.82,212.709,8.7,1.8899999999999997
2009-04-01,37.19,213.24,9.0,2.0
2009-05-01,39.075,213.856,9.4,2.36
2009-06-01,40.033699999999996,215.693,9.5,2.54
2009-07-01,40.565,215.351,9.5,2.54
2009-08-01,42.938,215.834,9.6,2.4699999999999998
2009-09-01,44.3,215.969,9.8,2.44
2009-10-01,45.29,216.177,10.0,2.4400000000000004
2009-11-01,46.55,216.33,9.9,2.5999999999999996
2009-12-01,47.065,215.949,9.9,2.7199999999999998
2010-01-01,47.45,216.687,9.8,2.8
2010-02-01,46.72,216.741,9.8,2.83
2010-03-01,48.4626,217.631,9.9,2.77
2010-04-01,49.89,218.009,9.9,2.79
2010-05-01,47.952,218.178,9.6,2.59
2010-06-01,46.2725,217.965,9.4,2.4800000000000004
2010-07-01,46.16,218.011,9.4,2.3899999999999997
2010-08-01,46.480000000000004,218.312,9.5,2.18
2010-09-01,48.05,218.439,9.5,2.17
2010-10-01,50.025,218.711,9.4,2.16
2010-11-01,50.62,218.803,9.8,2.3099999999999996
2010-12-01,52.555,219.179,9.3,2.67
2011-01-01,53.14,220.223,9.1,2.7800000000000002
2011-02-01,54.62,221.309,9.0,2.81
2011-03-01,54.63,223.467,9.0,2.71
2011-04-01,55.98,224.906,9.1,2.73
2011-05-01,56.49,225.964,9.0,2.61
2011-06-01,54.8,225.722,9.1,2.59
2011-07-01,56.31,225.922,9.0,2.59
2011-08-01,50.67,226.545,9.0,2.07
2011-09-01,50.24,226.889,9.0,1.77
2011-10-01,51.96,226.421,8.8,1.8699999999999999
2011-11-01,53.08,226.23,8.6,1.7599999999999998
2011-12-01,54.34,225.672,8.5,1.72
2012-01-01,55.81,226.665,8.3,1.73
2012-02-01,57.22,227.663,8.3,1.69
2012-03-01,58.268550000000005,229.392,8.2,1.8299999999999998
2012-04-01,58.0,230.085,8.2,1.7599999999999998
2012-05-01,56.370000000000005,229.815,8.2,1.51
2012-06-01,55.73,229.478,8.2,1.33
2012-07-01,56.91,229.104,8.2,1.28
2012-08-01,58.71,230.379,8.1,1.41
2012-09-01,59.76,231.407,7.8,1.46
2012-10-01,59.76,231.317,7.8,1.47
2012-11-01,58.68,230.221,7.7,1.38
2012-12-01,59.84,229.601,7.9,1.46
2013-01-01,61.82,230.28,8.0,1.64
2013-02-01,63.67,232.166,7.7,1.71
2013-03-01,65.115,232.773,7.5,1.7
2013-04-01,65.83,232.531,7.6,1.53
2013-05-01,68.535,232.945,7.5,1.68
2013-06-01,67.41,233.504,7.5,1.9699999999999998
2013-07-01,69.245,233.596,7.3,2.24
2013-08-01,68.52000000000001,233.877,7.2,2.3800000000000003
2013-09-01,69.975,234.149,7.2,2.41
2013-10-01,70.99,233.546,7.2,2.2800000000000002
2013-11-01,73.9,233.069,6.9,2.4200000000000004
2013-12-01,74.0,233.049,6.7,2.56
2014-01-01,74.27,233.916,6.6,2.4699999999999998
2014-02-01,73.11,234.781,6.7,2.38
2014-03-01,74.91,236.293,6.7,2.3200000000000003
2014-04-01,75.51,237.072,6.2,2.29
2014-05-01,76.14,237.9,6.3,2.17
2014-06-01,77.88,238.343,6.1,2.15
2014-07-01,78.05,238.25,6.2,2.0300000000000002
2014-08-01,76.56,237.852,6.1,1.95
2014-09-01,78.02,238.031,5.9,1.96
2014-10-01,76.2,237.433,5.7,1.8499999999999999
2014-11-01,80.13,236.151,5.8,1.8
2014-12-01,81.2986,234.812,5.6,1.5699999999999998
2015-01-01,80.035,233.707,5.7,1.3299999999999998
2015-02-01,82.39,234.722,5.5,1.3599999999999999
2015-03-01,81.33500000000001,236.119,5.4,1.4
2015-04-01,81.15,236.599,5.4,1.4
2015-05-01,81.505,237.805,5.6,1.5900000000000003
2015-06-01,80.65,238.638,5.3,1.67
2015-07-01,79.92,238.654,5.2,1.65
2015-08-01,79.72,238.316,5.1,1.47
2015-09-01,74.66,237.945,5.0,1.46
2015-10-01,77.275,237.838,5.0,1.4299999999999997
2015-11-01,78.92,237.336,5.1,1.38
2015-12-01,78.25,236.525,5.0,1.2600000000000002
2016-01-01,73.92,236.916,4.8,1.19
2016-02-01,75.66499999999999,237.111,4.9,1.05
2016-03-01,79.91,238.132,5.0,1.0099999999999998
2016-04-01,81.58,239.261,5.1,1.04
2016-05-01,81.47,240.229,4.8,0.9900000000000001
2016-06-01,82.23,241.018,4.9,0.9099999999999999
2016-07-01,85.19,240.628,4.8,0.83
2016-08-01,85.57,240.849,4.9,0.8200000000000001
2016-09-01,83.93,241.428,5.0,0.8599999999999999
2016-10-01,82.34,241.729,4.9,0.92
2016-11-01,84.02,241.353,4.7,1.1600000000000001
2016-12-01,86.17,241.432,4.7,1.2900000000000003
2017-01-01,86.135,242.839,4.7,1.2200000000000002
2017-02-01,88.71,243.603,4.6,1.22
2017-03-01,90.58,243.801,4.4,1.17
2017-04-01,89.65,244.524,4.4,1.0599999999999998
2017-05-01,91.495,244.733,4.4,0.9999999999999998
2017-06-01,93.62,244.955,4.3,0.8499999999999999
2017-07-01,93.25999999999999,244.786,4.3,0.9499999999999997
2017-08-01,92.94,245.519,4.4,0.8699999999999999
2017-09-01,94.20500000000001,246.819,4.3,0.8200000000000003
2017-10-01,96.06,246.663,4.2,0.8099999999999998
2017-11-01,97.47,246.669,4.2,0.6500000000000001
2017-12-01,101.65,246.524,4.1,0.5599999999999998
2018-01-01,105.96,247.867,4.0,0.5500000000000003
2018-02-01,102.63,248.991,4.1,0.6799999999999997
2018-03-01,103.12,249.554,4.0,0.56
2018-04-01,100.9,250.546,4.0,0.4900000000000002
2018-05-01,101.83500000000001,251.588,3.8,0.4700000000000002
2018-06-01,103.67,251.989,4.0,0.38000000000000034
2018-07-01,104.96,252.006,3.8,0.28000000000000025
2018-08-01,107.46,252.146,3.8,0.25
2018-09-01,110.7,252.439,3.7,0.22999999999999998
2018-10-01,104.95,252.885,3.8,0.29000000000000004
2018-11-01,106.21,252.038,3.8,0.26000000000000023
2018-12-01,99.15,251.233,3.9,0.1499999999999999
2019-01-01,100.51,251.712,4.0,0.16999999999999993
2019-02-01,107.21,252.776,3.8,0.18000000000000016
2019-03-01,108.72,254.202,3.8,0.1599999999999997
2019-04-01,111.88,255.548,3.7,0.18999999999999995
2019-05-01,111.225,256.092,3.6,0.18999999999999995
2019-06-01,114.30000000000001,256.143,3.6,0.2599999999999998
2019-07-01,117.69,256.571,3.7,0.21999999999999997
2019-08-01,116.78999999999999,256.558,3.6,0.05999999999999983
2019-09-01,119.82,256.759,3.5,0.050000000000000044
2019-10-01,119.06,257.346,3.6,0.15999999999999992
2019-11-01,121.13,257.208,3.6,0.19999999999999996
2019-12-01,123.71,256.974,3.6,0.25
2020-01-01,126.55,257.971,3.6,0.24
2020-02-01,129.31,258.678,3.5,0.16999999999999993
2020-03-01,103.71000000000001,258.115,4.4,0.42
2020-04-01,111.27,256.389,14.8,0.44000000000000006
2020-05-01,113.12,256.394,13.2,0.5
2020-06-01,117.895,257.797,11.0,0.54
2020-07-01,122.16499999999999,259.101,10.2,0.47
2020-08-01,127.96,259.918,8.4,0.51
2020-09-01,128.66,260.28,7.8,0.55
2020-10-01,132.125,260.388,6.9,0.64
2020-11-01,137.0,260.229,6.7,0.7
2020-12-01,139.28,260.474,6.7,0.79
2021-01-01,141.3,261.582,6.4,0.9500000000000001
2021-02-01,141.83,263.014,6.2,1.1400000000000001
2021-03-01,144.1,264.877,6.1,1.4600000000000002
2021-04-01,152.05,267.054,6.1,1.48
2021-05-01,154.71,269.195,5.8,1.4600000000000002
2021-06-01,154.665,271.696,5.9,1.32
2021-07-01,157.74,273.003,5.4,1.1
2021-08-01,161.66,273.567,5.1,1.06
2021-09-01,159.14,274.31,4.7,1.1300000000000001
2021-10-01,160.2,276.589,4.5,1.19
2021-11-01,167.08,277.948,4.2,1.05
2021-12-01,168.125,278.802,3.9,0.7899999999999999
2022-01-01,165.51,281.148,4.0,0.78
2022-02-01,160.89,283.716,3.8,0.49
2022-03-01,159.24,287.504,3.7,0.21999999999999997
2022-04-01,160.785,289.109,3.7,0.20999999999999996
2022-05-01,150.49,292.296,3.6,0.2799999999999998
2022-06-01,143.85,296.311,3.6,0.14000000000000012
2022-07-01,145.95,296.276,3.5,-0.14000000000000012
2022-08-01,153.92,296.171,3.6,-0.3500000000000001
2022-09-01,145.99,296.808,3.5,-0.33999999999999986
2022-10-01,140.22,298.012,3.6,-0.3999999999999999
2022-11-01,153.11,297.711,3.6,-0.6099999999999999
2022-12-01,153.61,296.797,3.5,-0.6699999999999999
2023-01-01,154.72,299.17,3.5,-0.6800000000000002
2023-02-01,156.03,300.84,3.6,-0.7800000000000002
2023-03-01,149.9,301.836,3.5,-0.6399999999999997
2023-04-01,155.87,303.363,3.4,-0.5599999999999996
2023-05-01,155.415,304.127,3.6,-0.56
2023-06-01,159.46,305.109,3.6,-0.8899999999999997
2023-07-01,163.81,305.691,3.5,-0.9300000000000002
2023-08-01,162.89,307.026,3.7,-0.7300000000000004
2023-09-01,161.22500000000002,307.789,3.8,-0.6399999999999997
2023-10-01,154.51,307.671,3.9,-0.27000000000000046
2023-11-01,162.02,307.051,3.7,-0.3799999999999999
2023-12-01,169.32999999999998,306.746,3.8,-0.4400000000000004
2024-01-01,170.48,308.417,3.7,-0.2600000000000007
2024-02-01,175.58499999999998,310.326,3.9,-0.33000000000000007
2024-03-01,180.05,312.332,3.9,-0.3799999999999999
2024-04-01,176.82,313.548,3.9,-0.33000000000000007
2024-05-01,180.93,314.069,4.0,-0.3799999999999999
2024-06-01,182.83,314.175,4.1,-0.4300000000000006
2024-07-01,187.26999999999998,314.54,4.2,-0.25
2024-08-01,190.805,314.796,4.2,-0.10000000000000009
2024-09-01,196.115,315.301,4.1,0.10000000000000009
2024-10-01,197.92,315.664,4.1,0.12999999999999945
2024-11-01,201.47500000000002,315.493,4.2,0.10000000000000053
2024-12-01,201.09,315.605,4.1,0.15999999999999925
2025-01-01,198.49,317.671,4.0,0.3600000000000003
2025-02-01,203.15,319.082,4.1,0.2400000000000002
2025-03-01,195.09,319.799,4.2,0.31000000000000005
2025-04-01,186.02,320.795,4.2,0.5000000000000004
2025-05-01,195.6,321.465,4.2,0.5
2025-06-01,200.735,322.561,4.1,0.48999999999999977
2025-07-01,206.56,323.048,4.2,0.5099999999999998
